event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fl_peakflux	fl_peakfluxunit	fl_peaktemp	fl_peaktempunit	fl_peakem	fl_peakemunit	fl_efoldtime	fl_efoldtimeunit	fl_fluence	fl_fluenceunit
FL	2013-10-27T22:11:46	POINT(652.8 -268.8)	POLYGON((614.4 -307.2,691.2 -307.2,691.2 -230.4,614.4 -230.4,614.4 -307.2))		POINT(43.676991 -12.67474)	POLYGON((41.006109 -14.902871,47.71866 -15.308645,46.520073 -10.492094,40.089702 -10.114437,41.006109 -14.902871))			33.7502	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T22:40:34	POINT(960 192)	POLYGON((921.6 153.6,998.4 153.6,998.4 230.4,921.6 230.4,921.6 153.6))		POINT(89.319489 11.292797)	POLYGON((75.669238 10.355075,89.5375 8.73807,89.174459 12.971475,80.220064 14.650243,75.669238 10.355075))			137.836	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T23:12:22	POINT(-576 -192)	POLYGON((-614.4 -307.2,-537.6 -307.2,-537.6 -153.6,-614.4 -153.6,-614.4 -307.2))		POINT(-36.834976 -7.6145286)	POLYGON((-41.006197 -14.90564,-34.966881 -14.584098,-33.832487 -5.157125,-39.552374 -5.446828,-41.006197 -14.90564))			91.7428	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T00:05:10	POINT(-576 -192)	POLYGON((-614.4 -230.4,-537.6 -230.4,-537.6 -153.6,-614.4 -153.6,-614.4 -230.4))		POINT(-36.834827 -7.6171843)	POLYGON((-40.089507 -10.119812,-34.249709 -9.81794,-33.832285 -5.159914,-39.552119 -5.449402,-40.089507 -10.119812))			51.1957	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T00:23:46	POINT(-576 -192)	POLYGON((-614.4 -230.4,-537.6 -230.4,-537.6 -153.6,-614.4 -153.6,-614.4 -230.4))		POINT(-36.834774 -7.6181203)	POLYGON((-40.089475 -10.120694,-34.24969 -9.818901,-33.832213 -5.160896,-39.552029 -5.450309,-40.089475 -10.120694))			59.4332	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T00:53:58	POINT(-576 -192)	POLYGON((-614.4 -230.4,-537.6 -230.4,-537.6 -153.6,-614.4 -153.6,-614.4 -230.4))		POINT(-36.834689 -7.6196404)	POLYGON((-40.089424 -10.122128,-34.249658 -9.820462,-33.832097 -5.162492,-39.551884 -5.451782,-40.089424 -10.122128))			82.0845	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T01:28:34	POINT(883.2 38.4)	POLYGON((844.8 0,921.6 0,921.6 153.6,844.8 153.6,844.8 0))		POINT(66.232305 4.2051429)	POLYGON((60.858966 2.324574,72.396377 1.444176,75.660473 10.352588,62.894179 11.331493,60.858966 2.324574))			208.029	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T01:38:10	POINT(-576 -192)	POLYGON((-614.4 -307.2,-460.8 -307.2,-460.8 -153.6,-614.4 -153.6,-614.4 -307.2))		POINT(-36.834565 -7.6218661)	POLYGON((-41.00641 -14.912312,-29.376531 -14.33418,-28.485763 -4.93079,-39.55167 -5.453938,-41.00641 -14.912312))			463.37	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T01:44:58	POINT(960 38.4)	POLYGON((844.8 -153.6,998.4 -153.6,998.4 230.4,844.8 230.4,844.8 -153.6))		POINT(84.072535 2.7784093)	POLYGON((61.539329 -6.881204,88.997495 -8.693003,89.176296 12.971571,65.138281 15.819998,61.539329 -6.881204))			1454.36	erg/cm/cm/s	null		null		null		null	
FL	2013-10-28T02:48:46	POINT(499.2 -268.8)	POLYGON((460.8 -307.2,537.6 -307.2,537.6 -230.4,460.8 -230.4,460.8 -307.2))		POINT(31.770922 -12.062807)	POLYGON((29.376661 -14.337981,34.967271 -14.594969,34.249537 -9.826399,28.811927 -9.583518,29.376661 -14.337981))			62.9559	erg/cm/cm/s	null		null		null		null	
